type,interval_seconds
all_interactions,0.062
all_interactions,0.507
all_interactions,1.877
all_interactions,0.21
all_interactions,1.253
all_interactions,0.844
all_interactions,1.953
all_interactions,6.839
all_interactions,7.704
all_interactions,1.174
all_interactions,1.2
all_interactions,0.583
all_interactions,1.833
all_interactions,10.167
all_interactions,1.417
all_interactions,0.683
all_interactions,5.376
all_interactions,0.775
all_interactions,0.739
all_interactions,2.41
all_interactions,2.9
all_interactions,7.111
all_interactions,1.091
all_interactions,12.422
all_interactions,1.712
all_interactions,2.383
all_interactions,1.5
all_interactions,0.301
all_interactions,0.892
all_interactions,1.261
all_interactions,3.356
all_interactions,1.082
all_interactions,1.51
all_interactions,1.791
all_interactions,4.585
all_interactions,10.126
all_interactions,3.29
all_interactions,8.131
all_interactions,0.753
all_interactions,0.379
all_interactions,7.367
all_interactions,0.892
all_interactions,5.679
all_interactions,1.277
all_interactions,0.602
all_interactions,2.642
all_interactions,0.72
all_interactions,1.863
all_interactions,0.642
all_interactions,0.957
all_interactions,1.334
all_interactions,0.837
all_interactions,1.38
all_interactions,1.208
all_interactions,0.88
all_interactions,1.315
all_interactions,0.926
all_interactions,0.821
all_interactions,0.725
all_interactions,26.183
all_interactions,1.292
all_interactions,1.6
all_interactions,0.925
all_interactions,2.733
all_interactions,2.035
all_interactions,6.307
all_interactions,0.178
all_interactions,1.069
all_interactions,0.846
all_interactions,0.029
all_interactions,0.934
all_interactions,0.728
all_interactions,1.254
all_interactions,1.137
all_interactions,0.604
all_interactions,1.643
all_interactions,0.557
all_interactions,0.621
all_interactions,9.504
all_interactions,0.789
all_interactions,0.244
all_interactions,0.777
all_interactions,0.691
all_interactions,3.244
all_interactions,3.771
all_interactions,1.564
all_interactions,0.684
all_interactions,0.007
all_interactions,1.958
all_interactions,1.848
all_interactions,5.849
all_interactions,0.938
all_interactions,1.182
all_interactions,0.17
all_interactions,4.799
all_interactions,1.317
all_interactions,1.435
all_interactions,3.711
all_interactions,0.143
all_interactions,0.898
all_interactions,2.814
all_interactions,1.485
all_interactions,0.608
all_interactions,0.552
all_interactions,0.688
all_interactions,0.194
all_interactions,0.722
all_interactions,2.868
all_interactions,10.938
all_interactions,1.9
all_interactions,9.034
all_interactions,1.608
all_interactions,1.47
all_interactions,0.591
all_interactions,0.622
all_interactions,3.174
all_interactions,0.251
all_interactions,5.003
all_interactions,19.522
all_interactions,1.047
all_interactions,0.1
all_interactions,2.052
all_interactions,1.942
all_interactions,1.128
